https://fragalysis.diamond.ac.uk/viewer/react/projects/316/283,,,,,
smiles,name,compound_set,red,red-text,blue
Cc1nc2ccccc2n1Br,CHIKV_Mac-AFX6,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
c1ccc2c(c1)nc1ccccn12,CHIKV_Mac-FTRE,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
c1ccc2c(c1)nc1ccccn12,CHIKV_Mac-47HK,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Cc1nc2c(Br)cccc2[nH]1,CHIKV_Mac-699F,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Cc1nc2cccc(CC(N)=O)c2n1C#N,CHIKV_Mac-CCTL,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Cc1c(N)c2ccccc2n1C,CHIKV_Mac-AE7X,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
C[C@@H]1NC2=C(CCCC2)C[C@@H]1C,CHIKV_Mac-4RHH,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Cc1nc2ccccc2n1C(=O)NCC(=O)N(C)C,CHIKV_Mac-7LS4,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
C[C@@H](N)Nc1cccc(CCN)c1,CHIKV_Mac-DSNR,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CCOC(=O)n1c(C)nc2ccccc21,CHIKV_Mac-CXDD,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
NC(O)(O)c1nc2ccccc2[nH]1,CHIKV_Mac-6795,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
COCc1c(O)cc(N)c2c1OCO2,CHIKV_Mac-6RLD,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
c1ccc2c3c(ccc2c1)OCO3,CHIKV_Mac-75G5,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
NCC1=C(O)C(CCO)=C2OCO[C@@H]12,CHIKV_Mac-KHWS,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Oc1ccc2c(c1)N(Br)CO2,CHIKV_Mac-C6MU,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
